GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,QUADRIMESTRE,COD_ANO,COD_COND,Lat_Y_,Long_X_
"RUA GUIRA-ACANGATARA, 50,
SAO PAULO, SAO PAULO - BRASIL","129004617318000033","129","004","617318","00","0033",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","143","199",RUA GUIRA-ACANGATARA,"50","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4989701","-46,5288832"
"RUA GUIRA-ACANGATARA, 182,
SAO PAULO, SAO PAULO - BRASIL","129004617318000034","129","004","617318","00","0034",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","149","200",RUA GUIRA-ACANGATARA,"182","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4987451","-46,5274102"
"RUA GUIRA-ACANGATARA, 166,
SAO PAULO, SAO PAULO - BRASIL","129004617318000035","129","004","617318","00","0035",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","670","292",RUA GUIRA-ACANGATARA,"166","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4987339","-46,5274854"
"RUA GUAXUPE, 245,
SAO PAULO, SAO PAULO - BRASIL","055284084441000316","055","284","084441","00","0316",AR,VFO,"1",S,S,ZEU,"0",,D,"61403","2022",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","242","156",RUA GUAXUPE,"245","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5568109","-46,5523282"
"RUA MERU, 230,
SAO PAULO, SAO PAULO - BRASIL","044110138568000059","044","110","138568","00","0059",VP,VPR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","256","208",RUA MERU,"230","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,588434","-46,5728905"
"RUA ALMIRANTE BARROSO, 579,
SAO PAULO, SAO PAULO - BRASIL","025027028983000082","025","027","028983","00","0082",MO,BEL,"1",S,S,ZDE-1,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","2800","587",RUA ALMIRANTE BARROSO,"579","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5343967","-46,6106856"
"RUA JULIO DE CASTILHOS , 936,
SAO PAULO, SAO PAULO - BRASIL","029021113280000319","029","021","113280","00","0319",MO,BEL,"2",S,S,ZEU,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","311","293",RUA JULIO DE CASTILHOS,"936","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5407777","-46,5918694"
"RUA SAO PROSPERO, 63,
SAO PAULO, SAO PAULO - BRASIL","057268166626000063","057","268","166626","00","0063",PE,VMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","170","110",RUA SAO PROSPERO,"63","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5487727","-46,5139065"
"RUA ALCIDES PRADO, 115,
SAO PAULO, SAO PAULO - BRASIL","057164005665000125","057","164","005665","00","0125",PE,VMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","102","70",RUA ALCIDES PRADO,"115","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5459289","-46,5225888"
"RUA RIO BONITO , 552,
SAO PAULO, SAO PAULO - BRASIL","026006171123000103","026","006","171123","00","0103",MO,BEL,"2",S,S,ZDE-1,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","700","500",RUA RIO BONITO,"552","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5322934","-46,6095553"
