GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"RUA GUILHERME SANDEVILLE, 32,SAO PAULO, SAO PAULO - BRASIL","152138085006000081","152","138","085006","00","0081",SM,SMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","84","84",RUA GUILHERME SANDEVILLE,"32","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6146029","-46,477562"
"RUA FIRMINO PEACCI, 71,SAO PAULO, SAO PAULO - BRASIL","303033071633000327","303","033","071633","00","0327",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","161","96",RUA FIRMINO PEACCI,"71","1","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,5767312","-46,5288242"
"RUA MANUEL QUIRINO DE MATTOS, 44,SAO PAULO, SAO PAULO - BRASIL","152065730467000022","152","065","730467","00","0022",SB,SAP,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","450","183",RUA MANUEL QUIRINO DE MATTOS,"44","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6110444","-46,500893"
"RUA JOAO DAS NEVES, 75,SAO PAULO, SAO PAULO - BRASIL","152075655767000054","152","075","655767","00","0054",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","106","125",RUA JOAO DAS NEVES,"75","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,613464","-46,4971939"
"RUA JOAO DAS NEVES, 375,SAO PAULO, SAO PAULO - BRASIL","152075655767000053","152","075","655767","00","0053",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","161","125",RUA JOAO DAS NEVES,"375","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6110161","-46,4978449"
"AVENIDA CIPRIANO RODRIGUES , 718,SAO PAULO, SAO PAULO - BRASIL","303033038520000328","303","033","038520","00","0328",AR,VFO,"2",S,S,ZC,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","144","285",AVENIDA CIPRIANO RODRIGUES,"718","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,5764812","-46,5274683"
"RUA ROGERIO HERMITA CALVO, 286,SAO PAULO, SAO PAULO - BRASIL","152063740322000048","152","063","740322","00","0048",SB,SAP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","125",RUA ROGERIO HERMITA CALVO,"286","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6134344","-46,5021678"
"RUA HENRIQUE LOBO, 44,SAO PAULO, SAO PAULO - BRASIL","152283662887000171","152","283","662887","00","0171",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","170","125",RUA HENRIQUE LOBO,"44","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6255813","-46,4648097"
"RUA HENRIQUE LOBO, 38,SAO PAULO, SAO PAULO - BRASIL","152283662887000172","152","283","662887","00","0172",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","202","125",RUA HENRIQUE LOBO,"38","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6256038","-46,4649881"
"RUA FIRMINO PEACCI, 69,SAO PAULO, SAO PAULO - BRASIL","303033071633000326","303","033","071633","00","0326",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","161","96",RUA FIRMINO PEACCI,"69","1","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,5766791","-46,5288114"
"RUA ROGERIO HERMITA CALVO, 284,SAO PAULO, SAO PAULO - BRASIL","152063740322000049","152","063","740322","00","0049",SB,SAP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","149","125",RUA ROGERIO HERMITA CALVO,"284","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6116762","-46,5018799"
"RUA GUILHERME SANDEVILLE, 28,SAO PAULO, SAO PAULO - BRASIL","152138085006000080","152","138","085006","00","0080",SM,SMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","84","83",RUA GUILHERME SANDEVILLE,"28","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6145424","-46,4776748"
"RUA AGOSTINHO DE MAGALHAES, 71,SAO PAULO, SAO PAULO - BRASIL","152190791520000048","152","190","791520","00","0048",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","265","149",RUA AGOSTINHO DE MAGALHAES,"71","0","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6178244","-46,4726752"
"RUA UM (JARDIM PEROLA II), 13,SAO PAULO, SAO PAULO - BRASIL","245187506834000012","245","187","506834","00","0012",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","122",RUA UM (JARDIM PEROLA II),"13","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA GUILHERME SANDEVILLE, 26,SAO PAULO, SAO PAULO - BRASIL","152138085006000079","152","138","085006","00","0079",SM,SMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","84","84",RUA GUILHERME SANDEVILLE,"26","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6145397","-46,4775557"
"RUA INACIO MONTEIRO, 4302,SAO PAULO, SAO PAULO - BRASIL","245187726702000001","245","187","726702","00","0001",CT,CTI,"1",S,S,ZC-ZEIS,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","140","139",RUA INACIO MONTEIRO,"4302","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5719891","-46,3949316"
"RUA MARCAL DE LEMOS, 109,SAO PAULO, SAO PAULO - BRASIL","152202785938000042","152","202","785938","00","0042",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","70","125",RUA MARCAL DE LEMOS,"109","1","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6192398","-46,4717686"
"RUA MANUEL QUIRINO DE MATTOS, 815,SAO PAULO, SAO PAULO - BRASIL","152086730467000022","152","086","730467","00","0022",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","435","171",RUA MANUEL QUIRINO DE MATTOS,"815","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2022","0","-23,6101397","-46,4970728"
"RUA UM (JARDIM PEROLA II), 18,SAO PAULO, SAO PAULO - BRASIL","245187506834000016","245","187","506834","00","0016",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","30","122",RUA UM (JARDIM PEROLA II),"18","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA UM (JARDIM PEROLA II), 17,SAO PAULO, SAO PAULO - BRASIL","245187506834000015","245","187","506834","00","0015",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","126",RUA UM (JARDIM PEROLA II),"17","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA INACIO MONTEIRO, 4326,SAO PAULO, SAO PAULO - BRASIL","245187726702000003","245","187","726702","00","0003",CT,CTI,"2",S,S,ZC-ZEIS,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","300","196",RUA INACIO MONTEIRO,"4326","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5720102","-46,3949085"
"RUA JUA MIRIM, 350,SAO PAULO, SAO PAULO - BRASIL","244023269492000401","244","023","269492","00","0401",IQ,JBO,"2",S,S,ZEIS-5,"0",,,"0","0",S,ZEIS-2,"0",,,"0","0",QA,"10",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","0","4430",RUA JUA MIRIM,"350","0","0","0",,U,,,LOTE COM ENDERECO/NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5844344","-46,4182459"
"RUA CACHOEIRA DE MINAS, 465,SAO PAULO, SAO PAULO - BRASIL","152150037915000066","152","150","037915","00","0066",SM,SMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","96","83",RUA CACHOEIRA DE MINAS,"465","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6197695","-46,4799125"
"RUA CACHOEIRA DE MINAS, 465,SAO PAULO, SAO PAULO - BRASIL","152150037915000067","152","150","037915","00","0067",SM,SMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","96","84",RUA CACHOEIRA DE MINAS,"465","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6197695","-46,4799125"
"RUA FRANCISCO LOURENCO, 3,SAO PAULO, SAO PAULO - BRASIL","152266727130000119","152","266","727130","00","0119",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","176","142",RUA FRANCISCO LOURENCO,"3","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6221731","-46,4675584"
"RUA LIBERATO BARROSO, 501,SAO PAULO, SAO PAULO - BRASIL","152147118176000040","152","147","118176","00","0040",SM,SMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","210","150",RUA LIBERATO BARROSO,"501","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6181528","-46,4821764"
"RIA JAIME OVALE, 83,SAO PAULO, SAO PAULO - BRASIL","245187257419000020","245","187","257419","00","0020",CT,CTI,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","440","400",RIA JAIME OVALE,"83","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5852529","-46,3836355"
"RUA INACIO MONTEIRO, 4310,SAO PAULO, SAO PAULO - BRASIL","245187726702000002","245","187","726702","00","0002",CT,CTI,"1",S,S,ZC-ZEIS,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","138",RUA INACIO MONTEIRO,"4310","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5719961","-46,3949239"
"RUA MARCAL DE LEMOS, 109,SAO PAULO, SAO PAULO - BRASIL","152202785938000041","152","202","785938","00","0041",SM,SRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","125",RUA MARCAL DE LEMOS,"109","1","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6192398","-46,4717686"
"RUA UM (JARDIM PEROLA II), 7,SAO PAULO, SAO PAULO - BRASIL","245187506834000007","245","187","506834","00","0007",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","100","249",RUA UM (JARDIM PEROLA II),"7","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA UM (JARDIM PEROLA II), 20,SAO PAULO, SAO PAULO - BRASIL","245187506834000018","245","187","506834","00","0018",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","100","129",RUA UM (JARDIM PEROLA II),"20","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA ANTONIO GARCIA DA CUNHA, 9,SAO PAULO, SAO PAULO - BRASIL","152266727911000121","152","266","727911","00","0121",SM,SRA,"2",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","503","168",RUA ANTONIO GARCIA DA CUNHA,"9","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6223969","-46,4676741"
"RUA FRANCOLINO PEREIRA, 277,SAO PAULO, SAO PAULO - BRASIL","194166224154000094","194","166","224154","00","0094",SM,IGU,"1",S,S,ZMA,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","294","127",RUA FRANCOLINO PEREIRA,"277","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,6010708","-46,4400352"
"RUA UM (JARDIM PEROLA II), 9,SAO PAULO, SAO PAULO - BRASIL","245187506834000008","245","187","506834","00","0008",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","180","121",RUA UM (JARDIM PEROLA II),"9","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
"RUA UM (JARDIM PEROLA II), 14,SAO PAULO, SAO PAULO - BRASIL","245187506834000013","245","187","506834","00","0013",CT,CTI,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","150","125",RUA UM (JARDIM PEROLA II),"14","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2022","0","-23,5894895","-46,3827563"
